"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          81,      -0.203455228,       3.123305506,       2.867101508,       6.388710067
          0,           0,          82,     -0.1771895745,       3.142575087,       2.912942432,       6.410899937
          0,           0,          83,     -0.2208343174,       3.105742894,       2.873656591,       6.372290015
          0,           0,          84,     -0.1774684643,       3.140428637,       2.908003589,       6.414192769
          0,           0,          85,     -0.2120064303,       3.112351224,        2.87568214,       6.382012224
          0,           0,          86,     -0.2170828749,       3.103390467,       2.899412509,       6.377312862
          0,           0,          87,     -0.2265920787,       3.098787097,       2.866269473,       6.371989229
          0,           0,          88,     -0.1870104646,       3.129669192,       2.914667788,       6.405758631
          0,           0,          89,     -0.2398144556,       3.083807762,       2.872879162,       6.358894274
          0,           0,          90,     -0.1916220593,       3.122693229,       2.907360426,       6.403385314
          0,           0,          91,     -0.2288532117,       3.091769066,       2.874420144,       6.368661457
          0,           0,          92,     -0.2204361376,       3.097226823,        2.90286642,       6.378449599
          0,           0,          93,     -0.2407391414,       3.081716132,       2.868599348,       6.362030384
          0,           0,          94,     -0.2054967163,       3.108352224,       2.911629868,       6.390581059
          0,           0,          95,     -0.2488791925,       3.071608512,       2.875050596,       6.352787231
          0,           0,          96,     -0.2045970337,       3.107838405,       2.907539772,       6.393906979
          0,           0,          97,       -0.23699306,       3.080537144,        2.87542697,        6.36374203
          0,           0,          98,     -0.2265431753,       3.088269198,       2.906901225,        6.37378926
          0,           0,          99,      -0.251759444,       3.067855763,       2.874969696,       6.352534771
          0,           0,         100,      -0.214279007,       3.097489621,       2.910929093,       6.385276925
          0,           0,         101,     -0.2447299612,       3.072627218,       2.878562937,       6.358360236
          0,           0,         102,     -0.2211946389,       3.090303283,       2.908974183,       6.378676379
          0,           0,         103,     -0.2496423522,       3.066946962,        2.87846482,       6.353659137
          0,           0,         104,     -0.2165858388,       3.095630677,       2.912242425,       6.384975377
          0,           0,         105,      -0.249503096,       3.066604876,       2.879581714,       6.355024319
          0,           0,         106,     -0.2100548192,       3.099813818,       2.918548597,       6.388694608
          0,           0,         107,     -0.2568344107,       3.059276855,       2.882387056,       6.347665761
          0,           0,         108,     -0.2117922517,       3.097494467,        2.91615972,       6.388945902
          0,           0,         109,     -0.2430125837,       3.072584898,       2.885945594,       6.360434993
          0,           0,         110,     -0.2384359734,       3.073025276,       2.909822609,       6.364180002
          0,           0,         111,     -0.2543174324,       3.061886037,       2.877897329,       6.351962111
          0,           0,         112,     -0.2124472512,       3.095108331,       2.895228182,       6.386573883
          0,           0,         113,     -0.2594430686,       3.053848218,       2.779398554,       6.341723763
          0,           0,         114,     -0.4473813503,       2.869834375,       2.568581288,       6.164580152
          0,           0,         115,     -0.5765455969,       2.754208335,       2.414512752,       6.042499427
          0,           0,         116,     -0.6187069473,       2.704208654,       2.416749103,       5.984133061
          0,           0,         117,     -0.6415718754,       2.689532568,       2.411345422,       5.960340248
          0,           0,         118,     -0.5426073821,       2.763327856,        2.54657788,       6.026421074
          0,           0,         119,      -0.477716212,       2.848617823,       2.608049315,       6.099914397
          0,           0,         120,     -0.4545462851,       2.839408878,       2.641852364,       6.114060481
          0,           0,         121,     -0.4653306373,       2.859861032,       2.603947405,       6.119509801
          0,           0,         122,     -0.3881278663,       2.902975884,       2.683458115,       6.184343445
          0,           0,         123,     -0.3973792808,       2.921034156,       2.633803788,       6.186980028
          0,           0,         124,       -0.39176075,       2.908635338,       2.691622628,       6.187347857
          0,           0,         125,     -0.4214715507,       2.895519291,       2.615108172,       6.169902971
          0,           0,         126,     -0.3390137177,       2.960904376,       2.717585925,       6.241806878
          0,           0,         127,     -0.3804939085,       2.928956337,        2.65476404,       6.206053202
          0,           0,         128,     -0.3003380004,       2.997120934,       2.761746862,       6.278493632
          0,           0,         129,     -0.3818961732,       2.929802729,       2.680715494,       6.206060075
          0,           0,         130,     -0.3017901129,       2.994831787,       2.763585393,       6.279008341
          0,           0,         131,     -0.3610960389,       2.948243527,       2.701596924,       6.225679395
          0,           0,         132,     -0.3114802655,       2.984946981,       2.774362624,        6.27084592
          0,           0,         133,     -0.3492629866,       2.958015799,       2.722831538,       6.237195041
          0,           0,         134,     -0.3158078548,       2.983144834,       2.786952772,        6.26915549
          0,           0,         135,     -0.3512484075,       2.958143319,       2.739359533,       6.239601655
          0,           0,         136,     -0.2967343255,       3.003752956,       2.808519142,       6.289763414
          0,           0,         137,     -0.3463274926,       2.963425468,       2.762999415,       6.244415855
          0,           0,         138,     -0.2940220809,       3.005383675,       2.813551449,       6.293474714
          0,           0,         139,     -0.3313120969,       2.974878883,       2.770218012,       6.259231656
          0,           0,         140,     -0.2835908146,       3.017024599,       2.837118639,       6.303031556
          0,           0,         141,     -0.3435553415,       2.966695957,       2.791416497,       6.249270551
          0,           0,         142,     -0.2773335725,       3.022937052,       2.837284086,       6.312107239
          0,           0,         143,     -0.3219994132,       2.984851586,       2.795884252,       6.270382347
          0,           0,         144,     -0.2864775823,       3.014316145,       2.849495139,       6.303087919
          0,           0,         145,     -0.3242538685,       2.985383988,       2.813535116,       6.269654094
          0,           0,         146,     -0.2831713441,       3.019101338,       2.851850605,       6.309092278
          0,           0,         147,      -0.310616152,       2.997655885,       2.811765288,       6.285078432
          0,           0,         148,     -0.2679174206,       3.035694489,       2.872716284,       6.322148244
          0,           0,         149,      -0.327902468,       2.982918631,       2.829974912,        6.26853221
          0,           0,         150,     -0.2574006584,       3.044741468,       2.869638826,       6.335367845
          0,           0,         151,     -0.3029616204,       3.006959068,       2.831274177,       6.293831098
          0,           0,         152,     -0.2796590147,        3.02379207,       2.869948758,       6.314649184
          0,           0,         153,     -0.3108015856,       2.997599969,       2.835975981,       6.286500034
          0,           0,         154,     -0.2530073149,       3.049577599,        2.88331355,       6.340661369
          0,           0,         155,      -0.294827788,       3.016037054,       2.848062253,       6.302890687
          0,           0,         156,     -0.2672633069,       3.038460442,       2.877528983,       6.329560083
          0,           0,         157,      -0.298068944,       3.010697426,       2.842915715,       6.301029299
          0,           0,         158,     -0.2405356642,       3.063623919,       2.896908511,       6.352854794
          0,           0,         159,     -0.2959696281,       3.016314801,       2.855865953,       6.304029941
          0,           0,         160,     -0.2426350332,       3.061266273,       2.888906142,       6.353183906
          0,           0,         161,     -0.2801439716,       3.030104704,       2.855550501,       6.318655148
          0,           0,         162,     -0.2607170229,       3.046642466,       2.891040572,       6.337720944
          0,           0,         163,     -0.2856278679,       3.027111664,       2.856355545,       6.316988713
          0,           0,         164,     -0.2415950494,       3.063881323,        2.89913665,       6.354795706
          0,           0,         165,     -0.2784375186,       3.034612049,       2.865982024,       6.322355907
          0,           0,         166,     -0.2435956119,       3.064160584,       2.893230636,       6.356172719
          0,           0,         167,     -0.2771787231,       3.032693433,       2.857615004,       6.324929066
          0,           0,         168,     -0.2406194004,       3.062846882,       2.877415432,       6.355676806
          0,           0,         169,     -0.2799303654,        3.03001475,       2.763893383,       6.318256377
          0,           0,         170,     -0.4703460207,       2.844291145,       2.556455158,       6.139087648
          0,           0,         171,     -0.5958933801,       2.733197773,       2.402557451,       6.020567739
          0,           0,         172,     -0.6353335936,       2.685799828,       2.408112884,       5.964128439
          0,           0,         173,     -0.6592583428,       2.671790672,       2.403567368,        5.94056826
          0,           0,         174,     -0.5600633127,       2.744668281,       2.538179655,        6.00603122
          0,           0,         175,     -0.4996173485,       2.827106246,       2.598127481,       6.077666733
          0,           0,         176,     -0.4388082967,       2.852961741,       2.644752291,       6.128243196
          0,           0,         177,     -0.4687258737,       2.850863506,       2.597438146,       6.112846339
          0,           0,         178,     -0.4095852986,       2.881893372,       2.675958795,       6.161638781
          0,           0,         179,     -0.4295666414,       2.887792932,       2.610197743,       6.157531758
          0,           0,         180,     -0.3538317868,       2.941647221,        2.70591448,       6.223243096
          0,           0,         181,     -0.3857977904,       2.924702997,       2.649421879,       6.195980639
          0,           0,         182,     -0.3596546349,       2.935068021,       2.718124502,       6.218643257
          0,           0,         183,     -0.3838632806,       2.928686574,       2.646006797,       6.204970573
          0,           0,         184,     -0.3237273812,       2.974568947,       2.752162299,       6.257470258
          0,           0,         185,     -0.3614043694,       2.949327947,       2.706141729,       6.222431872
          0,           0,         186,     -0.3306025005,       2.967027627,       2.756582872,       6.252406133
          0,           0,         187,      -0.358811653,       2.953612861,       2.689763483,       6.234410498
          0,           0,         188,      -0.312270917,       2.985559717,       2.773760196,       6.271326491
          0,           0,         189,     -0.3428295371,       2.965363048,       2.735721477,       6.242828377
          0,           0,         190,     -0.3203753015,       2.977558895,       2.787165214,       6.264664714
          0,           0,         191,     -0.3515253699,       2.960378854,       2.717246652,       6.242283031
          0,           0,         192,     -0.3027231443,       2.997135808,       2.771265843,       6.285029739
          0,           0,         193,     -0.3170831009,       2.995159757,       2.740194852,       6.274630815
          0,           0,         194,     -0.3201222013,       2.988981924,       2.781623837,       6.272458076
          0,           0,         195,     -0.3893430087,       2.930911545,       2.670075361,        6.21282451
          0,           0,         196,     -0.5221833418,       2.789535228,       2.501208082,        6.07805391
          0,           0,         197,     -0.6450825818,       2.678407548,       2.361239136,       5.961299285
          0,           0,         198,     -0.6572102601,       2.654512393,       2.392631316,       5.929038511
          0,           0,         199,     -0.6536594089,       2.667233472,       2.401581718,       5.932147975
          0,           0,         200,     -0.5152197918,       2.782263563,        2.56072222,       6.043632593
          0,           0,         201,     -0.4245550992,       2.897971704,       2.639608309,       6.143663796
          0,           0,         202,     -0.4706116435,       2.817201592,       2.636070943,       6.085886525
          0,           0,         203,     -0.5190905784,       2.796114477,       2.593280537,       6.054414679
          0,           0,         204,     -0.4227925475,       2.872307651,       2.679577682,       6.141948108
          0,           0,         205,     -0.4499510131,       2.871346758,       2.611738843,       6.136665025
          0,           0,         206,     -0.3490273925,       2.949754224,       2.708914478,       6.228898418
          0,           0,         207,     -0.3970515308,        2.91151997,       2.644528628,       6.186213931
          0,           0,         208,     -0.3287905351,       2.960664312,       2.724937113,       6.245082233
          0,           0,         209,     -0.3652862494,       2.942483494,       2.659446108,       6.217002766
          0,           0,         210,     -0.3584732974,       2.936108079,        2.73539516,       6.219876313
          0,           0,         211,     -0.3811125084,       2.928094233,       2.678912784,       6.205902484
          0,           0,         212,     -0.2938834374,       3.004867545,       2.776701705,       6.287856743
          0,           0,         213,     -0.3719500966,       2.938551699,       2.708483951,       6.216908767
          0,           0,         214,     -0.2984139241,       2.999144233,       2.773400943,       6.284839032
          0,           0,         215,     -0.3296482364,       2.976676088,       2.676967226,       6.255786824
          0,           0,         216,     -0.5230860174,       2.784931018,       2.506918118,       6.073967914
          0,           0,         217,      -0.892997375,       2.432411054,       1.995142216,       5.732119694
          0,           0,         218,      -1.279801124,       2.075932581,       1.588113604,       5.371562449
          0,           0,         219,       -1.51240475,       1.854196676,       1.330875158,       5.154955671
          0,           0,         220,        -1.7311297,       1.638526608,       1.154967374,       4.940568926
          0,           0,         221,      -1.886467395,       1.481407217,       1.017266351,       4.784212203
          0,           0,         222,      -2.010915172,       1.348571287,       0.897927483,       4.649159158
          0,           0,         223,      -2.076741511,       1.273394432,      0.8033397816,       4.568123093
          0,           0,         224,      -2.104627888,       1.242111745,       0.736600092,       4.531743533
          0,           0,         225,      -2.105832443,       1.239354147,      0.7012738625,       4.525372262
          0,           0,         226,      -2.087677535,        1.25530166,      0.6948231381,       4.538492841
          0,           0,         227,      -2.060845752,       1.279463178,       0.707204101,       4.560155581
          0,           0,         228,      -2.032779424,       1.304517404,      0.7345774558,       4.582765877
          0,           0,         229,      -2.000148331,       1.333756874,      0.7868134494,       4.609181689
          0,           0,         230,      -1.954563407,       1.374490918,      0.8763514386,       4.646330399
          0,           0,         231,      -1.887301438,       1.435348535,       1.001742333,       4.702205725
          0,           0,         232,      -1.788271634,       1.525598371,       1.155931185,       4.787521703
          0,           0,         233,       -1.66210963,       1.645437107,       1.320917297,       4.901584813
          0,           0,         234,      -1.507220327,        1.79295923,       1.498632783,       5.047510379
          0,           0,         235,      -1.348264332,        1.95222436,       1.670121141,       5.201898942
          0,           0,         236,      -1.166672351,       2.126863405,       1.856408751,       5.380437782
          0,           0,         237,      -1.005944968,       2.295215649,       2.022383066,       5.540934053
          0,           0,         238,     -0.8094079392,       2.478203557,       2.215594405,       5.736652079
          0,           0,         239,     -0.6659631525,       2.642356065,        2.37155932,       5.881617085
          0,           0,         240,     -0.7365615668,       2.556980792,       2.301299748,        5.83090247
          0,           0,         241,     -0.6431283249,       2.663556793,       2.421836265,       5.918446598
          0,           0,         242,     -0.5463392012,       2.747164158,       2.487998218,       6.022138275
          0,           0,         243,     -0.5133241206,       2.793851177,        2.52022283,       6.051614098
          0,           0,         244,     -0.6894834373,         2.6198836,       2.437437498,        5.89719334
          0,           0,         245,     -0.6424003988,       2.667556797,       2.513332559,       5.933354108
          0,           0,         246,     -0.5257147572,       2.769207823,       2.595435764,       6.044964635
          0,           0,         247,     -0.5010532276,       2.805781543,       2.619777958,       6.066832638
          0,           0,         248,     -0.5214210255,       2.785783756,        2.59293761,       6.065828111
          0,           0,         249,     -0.4694859365,       2.831139127,       2.657974124,       6.099424841
          0,           0,         250,     -0.4433163113,       2.854984899,       2.748786829,       6.125643218
          0,           0,         251,     -0.3634180223,       2.926035917,       2.805914528,       6.187058287
          0,           0,         252,     -0.3790170616,       2.924139134,       2.850878443,       6.191191342
          0,           0,         253,     -0.3577238746,       2.927621944,       2.731602228,       6.205065552
          0,           0,         254,     -0.4379633647,       2.884453548,       2.672918265,       6.145324601
          0,           0,         255,     -0.5610430963,       2.760901839,       2.520997868,       6.024506257
          0,           0,         256,      -0.651936197,       2.683123787,       2.433131313,       5.936907793
          0,           0,         257,     -0.6536592929,       2.669529881,       2.459135328,       5.915683404
          0,           0,         258,     -0.6414039186,       2.685334739,       2.503861751,       5.924483796
          0,           0,         259,     -0.5537146888,       2.749611644,       2.612446122,       5.985280857
          0,           0,         260,     -0.5625402102,       2.762731935,       2.660877866,       5.993888849
          0,           0,         261,     -0.4705968479,       2.788258168,       2.677294552,       6.065747465
          0,           0,         262,     -0.5242691716,       2.771024615,       2.686388824,        6.03274418
          0,           0,         263,     -0.4394496627,       2.828114996,       2.705928855,       6.107596059
          0,           0,         264,     -0.4877281938,       2.805296928,       2.692272249,       6.077015462
          0,           0,         265,     -0.4162840207,       2.853045579,       2.719510556,       6.140001818
          0,           0,         266,     -0.4617165135,       2.832972504,       2.687491708,        6.11183402
          0,           0,         267,     -0.3776384587,       2.900980212,        2.72985549,       6.189440109
          0,           0,         268,      -0.390952192,       2.907984457,       2.686158377,       6.187796836
          0,           0,         269,     -0.3607710531,       2.936481506,       2.726644297,        6.21774561
          0,           0,         270,     -0.3655293164,         2.9448308,       2.673672383,       6.221613738
          0,           0,         271,      -0.361465405,       2.938279734,       2.722218643,       6.219373026
          0,           0,         272,     -0.4564767371,       2.856913319,       2.569663017,        6.13531614
          0,           0,         273,      -0.696050814,       2.626184148,       2.313180214,       5.912513333
          0,           0,         274,      -1.171714081,        2.17043593,       1.649979373,       5.478295941
          0,           0,         275,      -1.393677784,       1.956929389,       1.469044862,       5.260542857
          0,           0,         276,      -1.622315616,       1.741284118,       1.300285612,       5.040221543
          0,           0,         277,      -1.808436782,       1.558653455,        1.16042583,       4.862569031
          0,           0,         278,      -1.956844524,       1.408976395,      0.9986564752,       4.711493159
          0,           0,         279,      -2.084696697,       1.273426232,      0.8676017953,       4.576160454
          0,           0,         280,      -2.158953265,       1.189445161,      0.7428731315,        4.48580033
          0,           0,         281,      -2.217084218,       1.132276458,      0.6497146753,       4.424292535
          0,           0,         282,      -2.244700712,       1.104105447,      0.5911424307,       4.392446528
          0,           0,         283,      -2.236626252,       1.107639948,      0.5668474229,       4.392455272
          0,           0,         284,      -2.203721393,       1.135498108,      0.5676958465,       4.417193033
          0,           0,         285,      -2.168397591,       1.167500409,      0.5798555721,       4.446703086
          0,           0,         286,      -2.135959719,       1.198057409,      0.6038073233,       4.475205914
          0,           0,         287,      -2.103661747,       1.228953247,      0.6498941473,       4.503985473
          0,           0,         288,      -2.064569556,       1.265232723,      0.7315553708,       4.537706697
          0,           0,         289,      -2.008916606,       1.315610234,      0.8505768638,       4.584099145
          0,           0,         290,      -1.923397039,        1.39272974,       1.000361658,       4.656367383
          0,           0,         291,      -1.806431894,        1.50222708,       1.164423376,       4.760009853
          0,           0,         292,      -1.658131783,       1.643149218,       1.340717369,       4.898136215
          0,           0,         293,       -1.49937413,       1.800779235,       1.514277932,       5.051425025
          0,           0,         294,      -1.320999877,       1.973754843,       1.698970321,       5.226534272
          0,           0,         295,      -1.155410489,       2.144266633,       1.869305809,       5.391420757
          0,           0,         296,     -0.9634187535,        2.32693626,       2.060527036,       5.582437865
          0,           0,         297,     -0.8093385791,       2.494830729,       2.220359358,       5.737647429
          0,           0,         298,     -0.6039979092,       2.677808084,       2.413338809,       5.943653039
          0,           0,         299,     -0.5438600268,       2.771968397,       2.510863746,       6.007107422
          0,           0,         300,     -0.7087874382,       2.601981843,       2.288087183,       5.875077405
          0,           0,         301,     -0.8112722778,       2.513450376,       2.193999583,       5.785030825
          0,           0,         302,     -0.8345850675,        2.49006199,       2.195635742,       5.761760982
          0,           0,         303,     -0.8058473495,       2.517107284,       2.249933037,       5.781129206
          0,           0,         304,     -0.7071321285,       2.603420666,       2.359946762,       5.865276723
          0,           0,         305,     -0.5976691921,       2.717904113,       2.488046335,       5.964761992
          0,           0,         306,     -0.5635141005,       2.745363484,       2.491534908,        6.00925564
          0,           0,         307,     -0.5205690026,       2.799858973,       2.550917999,       6.050419694
          0,           0,         308,     -0.5793013965,       2.718767488,       2.551589728,       5.989768488
          0,           0,         309,      -0.517483509,       2.792673673,       2.617030842,       6.044875594
          0,           0,         310,      -0.510032302,       2.800370947,       2.593607033,       6.066271942
          0,           0,         311,     -0.4507009974,       2.864788059,       2.657055464,       6.118860571
          0,           0,         312,       -0.47335675,       2.826505935,       2.715879275,       6.086791557
          0,           0,         313,     -0.4166085349,       2.878534914,       2.755732221,       6.135485773
          0,           0,         314,     -0.3761602015,       2.929589535,       2.803403717,       6.186058899
          0,           0,         315,     -0.3401318802,       2.956342724,       2.806327294,       6.216509996
          0,           0,         316,     -0.4095968089,         2.9124832,       2.726610207,       6.168840448
          0,           0,         317,     -0.6065232925,       2.730196319,       2.449918997,       5.990250838
          0,           0,         318,      -1.040524996,       2.309845557,       1.847820949,       5.588444165
          0,           0,         319,      -1.485951885,       1.863277636,       1.537992652,       5.147089553
          0,           0,         320,       -1.64086489,       1.680284519,       1.413551576,       4.962739713
          0,           0,         321,      -1.727240258,       1.568579511,       1.320006472,       4.852406806
          0,           0,         322,      -1.792959968,       1.493148849,       1.234244313,       4.779180167
          0,           0,         323,      -1.851441631,       1.437823912,       1.153307918,       4.723982656
          0,           0,         324,      -1.906173777,       1.392761756,       1.075147425,       4.676484046
          0,           0,         325,      -1.956490532,       1.353899114,      0.9993334128,       4.633623128
          0,           0,         326,      -2.001521941,       1.319249928,      0.9268762608,       4.594654341
          0,           0,         327,       -2.04174702,       1.286954357,      0.8596028249,       4.558558696
          0,           0,         328,      -2.078855688,       1.255017468,      0.7992792726,         4.5236497
          0,           0,         329,      -2.114893865,       1.221666972,      0.7467386301,       4.488104085
          0,           0,         330,      -2.151531474,       1.185653269,      0.7014517213,       4.450489277
          0,           0,         331,      -2.189754975,        1.14632266,      0.6617740061,       4.409980986
          0,           0,         332,      -2.266477856,       1.065094833,      0.5833301399,       4.329834855
          0,           0,         333,        -2.3802955,      0.9404706797,      0.4507375546,       4.211352686
          0,           0,         334,      -2.515333154,      0.7912474079,       0.292001698,       4.072162722
          0,           0,         335,      -2.682870412,      0.6345835757,      0.1691305313,       3.920945783
          0,           0,         336,      -2.850099027,      0.5060275227,     0.03359635431,        3.79347092
          0,           0,         337,      -2.984215193,      0.3766821063,    -0.06164389969,       3.668392173
          0,           0,         338,       -3.06239839,       0.296934505,     -0.1702313721,        3.58740882
          0,           0,         339,      -3.129332323,      0.2325999163,     -0.2539198209,       3.521052628
          0,           0,         340,      -3.151367234,      0.2047707935,     -0.3059305661,       3.489766582
          0,           0,         341,      -3.133456723,      0.2143453391,     -0.3263259406,       3.495317284
          0,           0,         342,      -3.094757407,      0.2480737207,     -0.3256598049,       3.525861295
          0,           0,         343,      -3.058613666,      0.2825319877,      -0.317497964,       3.558332282
          0,           0,         344,      -3.031758422,      0.3090380991,     -0.3029899864,       3.583543305
          0,           0,         345,      -3.010862774,      0.3293122303,     -0.2720646735,       3.602639217
          0,           0,         346,      -2.988028755,      0.3498761264,     -0.2099841844,       3.621482581
          0,           0,         347,      -2.950071137,      0.3823626745,      -0.107123292,       3.650956756
          0,           0,         348,      -2.881404191,      0.4417327795,     0.03169684177,       3.705584216
          0,           0,         349,      -2.773335195,      0.5389711767,      0.1934924173,       3.797461485
          0,           0,         350,      -2.632113705,      0.6720839447,      0.3660360715,       3.926157164
          0,           0,         351,      -2.469382996,      0.8299191012,      0.5441223681,       4.081699393
          0,           0,         352,      -2.297440444,       1.000080097,      0.7231193533,       4.250309019
          0,           0,         353,      -2.119032889,       1.176932163,       0.904538246,       4.427182133
          0,           0,         354,      -1.941493921,       1.355021519,       1.083787701,       4.604200219
